n,full_plate_acc,mean_edit_dist,per_position_acc,fold
19814,0.9651761380841829,0.05168062985767639,"[0.9963662057131322, 0.997527001110326, 0.9882406379327748, 0.9881901685676794, 0.9891995558695872, 0.9878873523771071, 0.982537599676996]",0
19812,0.9602766000403795,0.05607712497476277,"[0.9964163133454472, 0.9972239047042196, 0.9871794871794872, 0.9850090854027862, 0.9865737936604079, 0.9856652533817888, 0.9788007268322229]",1
19811,0.9671394679723386,0.04553026096612993,"[0.9967189944980062, 0.9981323507142497, 0.9900560294785725, 0.9891979203472818, 0.9901065064862955, 0.9899550754631266, 0.9842006965827066]",2
19807,0.961276316453779,0.05220376634523148,"[0.9958095622759631, 0.9975261271267734, 0.9889433028727218, 0.9879840460443278, 0.9880850204473166, 0.9877820972383501, 0.9814711970515474]",3
