n,full_plate_acc,mean_edit_dist,per_position_acc,fold
16841,0.04732498070185856,2.2297963303841817,"[0.9293984917760229, 0.9185321536725848, 0.6636185499673416, 0.40466718128377177, 0.49468558874176116, 0.6317320824179087, 0.7092215426637373]",0
16840,0.049168646080760096,2.2133610451306414,"[0.933313539192399, 0.9242280285035629, 0.6752375296912114, 0.4016627078384798, 0.49073634204275535, 0.6365201900237529, 0.7081353919239906]",1
16839,0.052378407268840195,2.183027495694519,"[0.9332501930043352, 0.9199477403646297, 0.6657164914781163, 0.40596234930815367, 0.5089969713165865, 0.6470099174535305, 0.7197577053269196]",2
16838,0.042463475472146336,2.275448390545195,"[0.9302173654828364, 0.9196460387219385, 0.6468107851288751, 0.39963178524765414, 0.4823019360969236, 0.6188383418458249, 0.7082195035039791]",3
