n,LPRNet (CTC),7-head CNN,PaddleOCR (zero-shot)
6660,0.9986486486486487,0.7866366366366366,0.8857357357357357
785,0.824203821656051,0.08152866242038216,0.14394904458598726
1655,0.9099697885196375,0.1583081570996979,0.3933534743202417
337,0.8456973293768546,0.11275964391691394,0.3264094955489614
725,0.9158620689655173,0.19034482758620688,0.5282758620689655
365,0.9726027397260274,0.30684931506849317,0.8328767123287671
1007,0.9563058589870904,0.18867924528301888,0.7000993048659384
352,0.9971590909090909,0.6875,0.8494318181818182
