n,full_plate_acc,mean_edit_dist,per_position_acc,fold
19814,0.7202483092762693,0.571716967800545,"[0.8260320985162006, 0.9022913091753306, 0.880185727263551, 0.8392046028060967, 0.8308266882002624, 0.8260320985162006, 0.8073584334309074]",0
19812,0.7154754694124773,0.5775287704421562,"[0.8259640621845347, 0.9012214819301434, 0.8763375731879669, 0.8366141732283464, 0.8258126388047647, 0.8245003028467596, 0.8007773066828185]",1
19811,0.716672555650901,0.5730654686790168,"[0.824390490131745, 0.9021250820251375, 0.878098026348998, 0.8380697592246732, 0.8305486850739489, 0.8283781737418606, 0.8048558881429508]",2
19807,0.7201494421164235,0.5669712727823497,"[0.8276871812995406, 0.9014489826828899, 0.8781743827939618, 0.8390468016357854, 0.8300600797697784, 0.8278891301055182, 0.8035542989852072]",3
