n,full_plate_acc,mean_edit_dist,per_position_acc,fold
16841,0.9203728994715278,0.10225046018644973,"[0.9827801199453714, 0.9961403717118936, 0.9802268273855472, 0.9805831007659878, 0.9805831007659878, 0.9808206163529481, 0.9691229736951488]",0
16840,0.9242280285035629,0.10106888361045131,"[0.9828384798099763, 0.996437054631829, 0.982125890736342, 0.9811757719714964, 0.9824228028503563, 0.980938242280285, 0.9740498812351543]",1
16839,0.9198883544153453,0.10220321871845121,"[0.9786210582576162, 0.9956648257022388, 0.9804620226854326, 0.9807589524318546, 0.9830750044539462, 0.9806401805332858, 0.9713165864956351]",2
16838,0.9216058914360375,0.10286257275210833,"[0.9833709466682504, 0.9952488419052143, 0.9810547570970424, 0.979866967573346, 0.9802826939066397, 0.9790949043829433, 0.9688205250029694]",3
