n,full_plate_acc,mean_edit_dist,per_position_acc,fold
19814,0.6810336125971536,0.6687695568789744,"[0.805995760573332, 0.888916927425053, 0.8615625315433532, 0.8180579388311295, 0.808216412637529, 0.8018068032704149, 0.7781366710406783]",0
19812,0.6778719967696346,0.6750959014738542,"[0.8056228548354533, 0.8890571370886331, 0.8618009287300626, 0.8169291338582677, 0.803957197657985, 0.80249343832021, 0.774076317383404]",1
19811,0.6781081217505426,0.6699813235071425,"[0.8052092271970117, 0.8901115541870678, 0.8616425218313059, 0.818787542274494, 0.8086416637221745, 0.8049568421583968, 0.776083993740851]",2
19807,0.6833947594284849,0.6556772858080476,"[0.8083000959256829, 0.8918059271974554, 0.8641389407785126, 0.8209723835007825, 0.8101681223809765, 0.8046145302165901, 0.7785631342454687]",3
