n,full_plate_acc,mean_edit_dist,per_position_acc,fold
16841,0.457217504898759,1.0115788848643192,"[0.9450151416186687, 0.9472715396947925, 0.8508995902856125, 0.7185440294519327, 0.8086218158066623, 0.8461492785464046, 0.8602220770738079]",0
16840,0.4823040380047506,0.9689429928741092,"[0.9458432304038005, 0.9522565320665083, 0.8534441805225653, 0.7262470308788599, 0.8124703087885986, 0.8496437054631829, 0.876959619952494]",1
16839,0.4645762812518558,1.0195379773145674,"[0.9447116812162243, 0.9477403646297287, 0.8465467070491122, 0.7151256012827365, 0.8034918938179226, 0.8455371459112774, 0.8642437199358631]",2
16838,0.46115928257512767,1.0195391376648058,"[0.9448271766243022, 0.9470839767193253, 0.8485568357287089, 0.7195035039790949, 0.8104287920180544, 0.8404204774913885, 0.8587124361563131]",3
