fold,pose_mAP50-95,pose_mAP50,box_mAP50-95,config
0,0.992119123205119,0.9940152586731589,0.7906894621123847,yolo11s_pretrained
1,0.9910916855249541,0.9939796407990136,0.7885411385561395,yolo11s_pretrained
2,0.9927520002242174,0.9943292682926832,0.7970688451403639,yolo11s_pretrained
3,0.9928310190966341,0.9942882580922081,0.7887023672716518,yolo11s_pretrained
0,0.991408323928107,0.9941747112687974,0.7814306495087826,yolo11s_scratch
1,0.9919466850016148,0.9943793790323991,0.7829676552053227,yolo11s_scratch
2,0.9930746519240239,0.9949440981699681,0.7860950402186131,yolo11s_scratch
3,0.9928989091359799,0.9947186352491568,0.7795136528797286,yolo11s_scratch
