model,task,size,weights,mean_ms_per_img,median_ms_per_img,std_ms,inference_only_ms,img_per_s
YOLO11n-pose,pose,n,trained,10.927964500000511,10.849746499999924,0.5253282212299288,6.541893175000553,91.5083499767915
YOLO11s-pose,pose,s,trained,11.066999635000771,10.951818500004151,0.7378337808091846,6.681661465000275,90.35872711492416
YOLO11m-pose,pose,m,trained,19.769784019998866,19.600676000010253,0.6784746101989274,15.28143466499998,50.58224202087451
YOLO11n-seg,seg,n,trained,11.23152547999922,11.182890500009535,0.5195535680769688,6.715532299998728,89.03510051068054
YOLO11s-seg,seg,s,trained,12.484256324999452,12.518831500003103,0.48835535975523975,7.894791935000001,80.10088658605333
YOLO11m-seg,seg,m,trained,24.356090704999787,24.300230500003295,0.4243376872959427,19.640829480001543,41.05749202989794
